time,current_speed,target_speed,gradient (in degrees),throttle,brake,position,power_traction,power_regen,power_friction,energy_traction,energy_regen,energy_friction,energy_net
41.7,70.43608724727254,80,1.5,0.0,1.0,529.0181211332349,0.0,1385.131550732569,461.71051691085626,13.272354121382103,4.836859630416692,1.6122865434722302,8.43549449096541
41.800000000000004,69.25657753662846,80,1.5,1.0,0.0,530.9766507950678,3264.2161030548314,0.0,0.0,13.363026790911402,4.836859630416692,1.6122865434722302,8.52616716049471
41.900000000000006,70.50706782598436,80,1.5,0.0,1.0,532.9024162982718,0.0,1386.5511623068055,462.18372076893513,13.363026790911402,4.87537494048077,1.625124980160256,8.487651850430632
42.0,69.32755811534028,80,1.5,1.0,0.0,534.8629176428467,3267.502240958157,0.0,0.0,13.453790742049128,4.87537494048077,1.625124980160256,8.578415801568358
42.1,70.57804840469619,80,1.5,0.0,1.0,536.7906548287926,0.0,1387.970773881042,462.6569246270139,13.453790742049128,4.913929684199688,1.6379765613998953,8.539861057849441
42.2,69.3985386940521,80,1.5,1.0,0.0,538.7531278561096,3270.788378861482,0.0,0.0,13.54464597479528,4.913929684199688,1.6379765613998953,8.630716290595592
42.300000000000004,70.64902898340802,80,1.5,0.0,1.0,540.6828367247974,0.0,1389.3903854552784,463.13012848509277,13.54464597479528,4.952523861573445,1.650841287191148,8.592122113221835
42.400000000000006,69.46951927276393,80,1.5,1.0,0.0,542.6472814348563,3274.074516764807,0.0,0.0,13.635592489149857,4.952523861573445,1.650841287191148,8.683068627576413
42.5,70.72000956211984,80,1.5,0.0,1.0,544.5789619862861,0.0,1390.809997029515,463.60333234317164,13.635592489149857,4.991157472602043,1.663719157534014,8.644435016547815
42.6,69.54049985147576,80,1.5,1.0,0.0,546.545378379087,3277.3606546681326,0.0,0.0,13.726630285112861,4.991157472602043,1.663719157534014,8.73547281251082
42.7,70.79099014083167,80,1.5,0.0,1.0,548.4790306132588,0.0,1392.2296086037518,464.07653620125046,13.726630285112861,5.029830517285481,1.6766101724284932,8.69679976782738
42.800000000000004,69.61148043018758,80,1.5,1.0,0.0,550.4474186888017,3280.646792571458,0.0,0.0,13.817759362684292,5.029830517285481,1.6766101724284932,8.787928845398811
42.900000000000006,70.86197071954349,80,1.5,0.0,1.0,552.3830426057156,0.0,1393.6492201779881,464.54974005932934,13.817759362684292,5.0685429956237575,1.6895143318745856,8.749216367060534
43.0,69.68246100889941,80,1.5,1.0,0.0,554.3534023640004,3283.932930474784,0.0,0.0,13.908979721864148,5.0685429956237575,1.6895143318745856,8.84043672624039
43.1,70.93295129825533,80,1.5,0.0,1.0,556.2909979636563,0.0,1395.068831752225,465.02294391740816,13.908979721864148,5.107294907616875,1.7024316358722915,8.801684814247272
43.2,69.75344158761123,80,1.5,1.0,0.0,558.2633294046832,3287.2190683781087,0.0,0.0,14.00029136265243,5.107294907616875,1.7024316358722915,8.892996455035552
43.300000000000004,71.00393187696716,80,1.5,0.0,1.0,560.2028966870811,0.0,1396.4884433264613,465.49614777548703,14.00029136265243,5.146086253264833,1.7153620844216106,8.854205109387596
43.400000000000006,69.82442216632306,80,1.5,1.0,0.0,562.17719981085,3290.505206281434,0.0,0.0,14.091694285049137,5.146086253264833,1.7153620844216106,8.945608031784303
43.5,71.07491245567898,80,1.5,0.0,1.0,564.1187387759899,0.0,1397.9080549006976,465.96935163356585,14.091694285049137,5.18491703256763,1.728305677522543,8.906777252481506
43.6,69.89540274503489,80,1.5,1.0,0.0,566.0950135825008,3293.7913441847595,0.0,0.0,14.183188489054267,5.18491703256763,1.728305677522543,8.998271456486638
43.7,71.14589303439081,80,1.5,0.0,1.0,568.0385242303827,0.0,1399.3276664749342,466.4425554916447,14.183188489054267,5.2237872455252665,1.7412624151750886,8.959401243529001
43.800000000000004,69.96638332374673,80,1.5,1.0,0.0,570.0167707196355,3297.0774820880847,0.0,0.0,14.274773974667825,5.2237872455252665,1.7412624151750886,9.050986729142558
43.900000000000006,71.21687361310263,80,1.5,0.0,1.0,571.9622530502593,0.0,1400.747278049171,466.9157593497236,14.274773974667825,5.262696892137744,1.7542322973792477,9.01207708253008
44.0,70.03736390245855,80,1.5,1.0,0.0,573.9424712222541,3300.36361999141,0.0,0.0,14.366450741889809,5.262696892137744,1.7542322973792477,9.103753849752064
44.1,71.28785419181446,80,1.5,0.0,1.0,575.8899252356199,0.0,1402.1668896234075,467.38896320780236,14.366450741889809,5.30164597240506,1.76721532413502,9.064804769484747
44.2,70.10834448117038,80,1.5,1.0,0.0,577.8721150903567,3303.649757894735,0.0,0.0,14.458218790720217,5.30164597240506,1.76721532413502,9.156572818315157
44.300000000000004,71.35883477052629,80,1.5,0.0,1.0,579.8215407864645,0.0,1403.586501197644,467.86216706588124,14.458218790720217,5.340634486327217,1.7802114954424055,9.117584304393
44.400000000000006,70.1793250598822,80,1.5,1.0,0.0,581.8057023239434,3306.935895798061,0.0,0.0,14.550078121159052,5.340634486327217,1.7802114954424055,9.209443634831835
44.5,71.42981534923811,80,1.5,0.0,1.0,583.7570997027932,0.0,1405.0061127718807,468.3353709239601,14.550078121159052,5.379662433904214,1.7932208113014043,9.170415687254838
44.6,70.25030563859403,80,1.5,1.0,0.0,585.743232923014,3310.222033701386,0.0,0.0,14.642028733206313,5.379662433904214,1.7932208113014043,9.2623662993021
